"state_name","MinWage2001","MinWage2019","ChangeInMinWage"
"AL",5.15,7.25,2.1
"AK",5.65,10.19,4.54
"AZ",5.15,12,6.85
"AR",5.15,9.25,4.1
"CA",6.25,12,5.75
"CO",5.15,12,6.85
"CT",6.4,11,4.6
"DE",6.15,9.25,3.1
"DC",6.15,14,7.85
"FL",5.15,8.56,3.41
"GA",5.15,5.15,0
"HI",5.25,10.1,4.85
"ID",6.15,7.25,1.1
"IL",5.15,9.25,4.1
"IN",5.15,7.25,2.1
"IA",5.15,7.25,2.1
"KS",2.65,7.25,4.6
"KY",5.15,7.25,2.1
"LA",5.15,7.25,2.1
"ME",5.15,12,6.85
"MD",5.15,11,5.85
"MA",6.75,12.75,6
"MI",5.15,9.65,4.5
"MN",5.15,10,4.85
"MS",5.15,7.25,2.1
"MO",5.15,9.45,4.3
"MT",5.15,8.65,3.5
"NE",5.15,9,3.85
"NV",5.15,8.25,3.1
"NH",5.15,7.25,2.1
"NJ",5.15,11,5.85
"NM",4.25,9,4.75
"NY",5.15,11.8,6.65
"NC",5.15,7.25,2.1
"ND",5.15,7.25,2.1
"OH",4.25,8.7,4.45
"OK",5.15,7.25,2.1
"OR",6.5,11.25,4.75
"PA",5.15,7.25,2.1
"RI",6.15,10.5,4.35
"SC",5.15,7.25,2.1
"SD",5.15,9.3,4.15
"TN",5.15,7.25,2.1
"TX",5.15,7.25,2.1
"UT",5.15,7.25,2.1
"VT",6.25,10.96,4.71
"VA",5.15,7.25,2.1
"WA",6.72,13.5,6.78
"WV",5.15,8.75,3.6
"WI",5.15,7.25,2.1
"WY",5.15,5.15,0
